Fold,Accuracy,Precision,Recall,F1_Score,AUC
1,0.6910781749491427,0.6591422121896162,0.08768768768768768,0.1547839915186854,0.5990378409297329
2,0.6908844328199167,0.6612529002320185,0.08558558558558559,0.15155543738367455,0.5966149976660486
3,0.6924343698537246,0.6832151300236406,0.0867867867867868,0.1540101252331468,0.6055721315481075
4,0.6942453012981981,0.6961451247165533,0.09221988585160709,0.16286472148541115,0.6022847075715805
5,0.6924045727572176,0.6695842450765864,0.0918918918918919,0.16160549247425401,0.6066632779804977
Average,0.6922093703356399,0.673867922447683,0.08883436756071181,0.15696395361903442,0.6020345911391936
Std Dev,0.0012057202060042251,0.013985558625397035,0.0027155933131673376,0.00445179355131754,0.003804050406642073
