status,funding_rounds,funding_total_usd,milestones,relationships,age,success_status,success_binary
operating,,,1.0,3.0,15.28,0,0
operating,,,,4.0,7.0,0,0
operating,,,1.0,5.0,36.13,0,0
closed,1.0,100000.0,1.0,1.0,5.56,0,0
operating,,,1.0,3.0,6.33,0,0
operating,1.0,45000.0,,,15.0,0,0
operating,,,,4.0,13.25,0,0
operating,1.0,280000.0,2.0,2.0,7.68,0,0
operating,,,1.0,,9.0,0,0
operating,5.0,46400000.0,2.0,20.0,9.0,0,0
closed,,,1.0,2.0,2.08,0,0
operating,,,1.0,3.0,7.0,0,0
operating,2.0,182500.0,,3.0,4.66,0,0
ipo,,,4.0,100.0,6.7,1,1
operating,,,,,3.33,0,0
operating,,,3.0,8.0,8.0,0,0
operating,,,,,8.0,0,0
operating,2.0,4815940.0,,4.0,7.0,0,0
operating,1.0,,1.0,1.0,13.5,0,0
operating,,,,3.0,6.41,0,0
operating,,,,5.0,5.0,0,0
acquired,,,1.0,3.0,12.39,1,1
operating,,,3.0,23.0,44.0,0,0
operating,,,,2.0,7.75,0,0
operating,1.0,,,6.0,6.75,0,0
operating,,,1.0,1.0,16.56,0,0
operating,2.0,4350000.0,,2.0,8.0,0,0
operating,,,1.0,11.0,13.77,0,0
acquired,3.0,4000000.0,2.0,7.0,3.58,1,1
operating,3.0,3268000.0,1.0,9.0,3.75,0,0
operating,1.0,8500000.0,1.0,2.0,18.0,0,0
operating,,,1.0,2.0,3.58,0,0
operating,,,1.0,3.0,3.56,0,0
acquired,1.0,250000.0,1.0,2.0,3.5,1,1
operating,,,1.0,3.0,3.36,0,0
acquired,3.0,1310000.0,2.0,12.0,6.48,1,1
operating,,,1.0,,7.0,0,0
operating,,,1.0,1.0,13.99,0,0
acquired,2.0,44925050.0,1.0,5.0,16.0,1,1
operating,,,1.0,17.0,7.0,0,0
operating,,,3.0,4.0,6.57,0,0
operating,1.0,800000.0,,5.0,6.5,0,0
operating,1.0,,,4.0,7.0,0,0
operating,,,,1.0,6.41,0,0
operating,1.0,6000000.0,1.0,,7.0,0,0
operating,,,2.0,2.0,4.16,0,0
operating,,,3.0,2.0,7.08,0,0
operating,,,,9.0,14.0,0,0
operating,1.0,10200000.0,,2.0,14.0,0,0
acquired,1.0,274999.0,,4.0,7.0,1,1
operating,,,,10.0,12.0,0,0
operating,1.0,1600000.0,,3.0,7.0,0,0
closed,1.0,205000.0,,1.0,3.57,0,0
operating,1.0,,,1.0,7.0,0,0
closed,,,,1.0,1.62,0,0
operating,1.0,1000000.0,2.0,3.0,6.91,0,0
operating,,,,1.0,7.0,0,0
acquired,3.0,15286415.0,1.0,2.0,8.0,1,1
operating,3.0,27000000.0,1.0,13.0,8.0,0,0
operating,5.0,37570663.0,2.0,4.0,10.0,0,0
ipo,,,2.0,27.0,46.0,1,1
operating,,,,2.0,6.67,0,0
closed,1.0,250000.0,,,7.0,0,0
acquired,1.0,,,3.0,8.5,1,1
acquired,1.0,28000000.0,3.0,7.0,7.0,1,1
operating,1.0,230000.0,,3.0,8.16,0,0
closed,1.0,375000.0,,3.0,2.48,0,0
acquired,5.0,142000000.0,3.0,38.0,6.31,1,1
operating,,,,2.0,6.47,0,0
acquired,3.0,14229998.0,3.0,14.0,7.08,1,1
operating,,,,2.0,7.25,0,0
operating,1.0,500000.0,2.0,6.0,7.42,0,0
operating,,,1.0,6.0,3.33,0,0
operating,1.0,100000.0,2.0,1.0,3.84,0,0
operating,,,,,5.8,0,0
operating,,,,,28.0,0,0
operating,,,1.0,1.0,8.0,0,0
operating,1.0,,1.0,2.0,7.0,0,0
operating,,,1.0,1.0,9.16,0,0
operating,2.0,27100000.0,1.0,1.0,6.91,0,0
operating,,,2.0,2.0,8.07,0,0
operating,,,1.0,6.0,7.0,0,0
operating,,,1.0,9.0,17.0,0,0
operating,,,,2.0,11.42,0,0
operating,,,1.0,2.0,3.44,0,0
closed,1.0,,,1.0,3.89,0,0
acquired,,,2.0,4.0,3.45,1,1
operating,,,1.0,3.0,3.42,0,0
operating,,,,2.0,24.0,0,0
operating,,,,1.0,7.0,0,0
acquired,2.0,24300000.0,3.0,2.0,12.0,1,1
acquired,2.0,1750000.0,2.0,3.0,7.56,1,1
operating,3.0,17900000.0,4.0,6.0,16.0,0,0
acquired,5.0,13900000.0,3.0,5.0,13.0,1,1
operating,,,,,7.0,0,0
operating,,,,12.0,12.26,0,0
acquired,2.0,,3.0,5.0,7.0,1,1
operating,,,1.0,2.0,7.0,0,0
operating,,,1.0,2.0,6.44,0,0
operating,,,1.0,5.0,5.25,0,0
operating,,,,2.0,15.0,0,0
closed,1.0,,2.0,2.0,5.97,0,0
operating,,,1.0,3.0,12.25,0,0
operating,,,1.0,3.0,7.96,0,0
operating,,,3.0,1.0,6.5,0,0
operating,,,,,8.0,0,0
operating,,,1.0,1.0,5.25,0,0
operating,,,,2.0,4.0,0,0
closed,1.0,,3.0,1.0,4.02,0,0
operating,,,,,6.56,0,0
operating,,,,1.0,7.0,0,0
operating,,,,2.0,12.33,0,0
operating,1.0,150000.0,1.0,2.0,8.0,0,0
operating,,,1.0,1.0,16.0,0,0
operating,2.0,650000.0,,6.0,7.0,0,0
operating,,,2.0,11.0,4.75,0,0
operating,,,2.0,3.0,7.0,0,0
operating,,,,,5.25,0,0
operating,,,,,7.0,0,0
operating,,,,,7.0,0,0
operating,1.0,75000.0,,2.0,3.58,0,0
acquired,1.0,41000000.0,2.0,16.0,18.0,1,1
closed,1.0,3000000.0,,2.0,2.12,0,0
operating,3.0,8829914.0,,13.0,8.0,0,0
operating,,,,2.0,7.49,0,0
operating,,,,,6.71,0,0
operating,2.0,27200000.0,,11.0,3.58,0,0
operating,2.0,3749964.0,1.0,15.0,7.0,0,0
operating,1.0,16000000.0,1.0,2.0,15.0,0,0
operating,2.0,60000000.0,1.0,12.0,15.0,0,0
operating,,,1.0,4.0,16.0,0,0
acquired,1.0,1100000.0,2.0,3.0,7.25,1,1
operating,3.0,12322500.0,3.0,16.0,15.0,0,0
operating,,,,1.0,7.58,0,0
operating,,,,1.0,7.0,0,0
operating,,,1.0,9.0,10.92,0,0
operating,,,1.0,2.0,8.0,0,0
operating,,,,6.0,6.58,0,0
operating,7.0,351600000.0,3.0,29.0,10.0,0,0
acquired,1.0,225000.0,,4.0,7.68,1,1
operating,,,,1.0,6.83,0,0
operating,,,,2.0,6.83,0,0
operating,,,,2.0,15.17,0,0
operating,,,1.0,1.0,12.33,0,0
operating,,,1.0,4.0,7.0,0,0
operating,1.0,50000.0,1.0,1.0,6.58,0,0
operating,1.0,,3.0,1.0,8.0,0,0
operating,,,1.0,8.0,7.0,0,0
operating,4.0,14734000.0,1.0,8.0,12.91,0,0
acquired,1.0,125000000.0,1.0,1.0,7.0,1,1
operating,,,,,18.0,0,0
operating,,,,,28.0,0,0
acquired,1.0,1200000.0,3.0,9.0,3.13,1,1
closed,1.0,,1.0,3.0,4.0,0,0
operating,,,1.0,1.0,6.58,0,0
operating,,,1.0,1.0,7.16,0,0
closed,1.0,,,,1.6,0,0
operating,2.0,1300000.0,1.0,3.0,6.91,0,0
operating,,,2.0,6.0,20.0,0,0
operating,,,2.0,5.0,7.5,0,0
acquired,,,,,33.0,1,1
operating,4.0,18000000.0,2.0,16.0,7.84,0,0
operating,,,1.0,2.0,3.84,0,0
closed,1.0,150000.0,1.0,1.0,3.75,0,0
operating,,,1.0,2.0,6.5,0,0
operating,,,3.0,21.0,47.49,0,0
operating,,,,,10.0,0,0
operating,,,1.0,1.0,3.44,0,0
operating,,,,1.0,7.58,0,0
operating,,,,,7.0,0,0
operating,5.0,5395000.0,1.0,4.0,3.64,0,0
operating,,,,2.0,7.42,0,0
operating,,,2.0,4.0,3.42,0,0
closed,2.0,21189.0,1.0,2.0,2.33,0,0
operating,5.0,80512816.0,2.0,4.0,8.91,0,0
operating,,,,4.0,7.02,0,0
operating,,,,4.0,7.0,0,0
operating,,,,2.0,11.0,0,0
operating,2.0,1835000.0,,8.0,4.0,0,0
operating,1.0,1000000.0,1.0,1.0,17.0,0,0
operating,1.0,895000.0,1.0,3.0,3.25,0,0
operating,,,,,7.0,0,0
operating,,,,1.0,3.91,0,0
operating,,,1.0,5.0,7.75,0,0
operating,,,,1.0,10.0,0,0
operating,,,,,18.4,0,0
operating,,,,4.0,6.8,0,0
operating,,,1.0,2.0,3.75,0,0
operating,2.0,155000.0,1.0,,3.42,0,0
operating,,,2.0,3.0,4.0,0,0
operating,,,1.0,,4.0,0,0
operating,,,4.0,16.0,19.0,0,0
operating,4.0,1682618.0,1.0,7.0,7.33,0,0
operating,,,,2.0,7.0,0,0
operating,,,,,19.0,0,0
operating,,,,1.0,7.0,0,0
operating,,,,,9.49,0,0
operating,,,,1.0,6.0,0,0
operating,,,1.0,1.0,3.42,0,0
operating,,,,2.0,67.0,0,0
operating,1.0,1616176.0,1.0,2.0,11.0,0,0
operating,,,,,6.0,0,0
operating,,,,,4.5,0,0
operating,,,1.0,1.0,3.75,0,0
operating,4.0,29540000.0,3.0,15.0,6.75,0,0
closed,1.0,50000.0,,2.0,4.51,0,0
operating,,,,1.0,7.0,0,0
operating,3.0,2475000.0,1.0,2.0,4.57,0,0
operating,7.0,60000000.0,5.0,29.0,7.67,0,0
operating,,,,3.0,3.87,0,0
operating,,,,1.0,8.42,0,0
operating,,,1.0,4.0,7.0,0,0
operating,,,2.0,,8.0,0,0
acquired,2.0,13250000.0,4.0,4.0,8.91,1,1
acquired,,,,,14.0,1,1
acquired,1.0,509412.0,1.0,3.0,7.0,1,1
operating,,,2.0,,7.0,0,0
operating,,,,,7.0,0,0
closed,2.0,12100000.0,1.0,10.0,6.83,0,0
operating,4.0,25830908.0,1.0,10.0,9.08,0,0
operating,,,,1.0,16.0,0,0
operating,1.0,,2.0,5.0,4.12,0,0
operating,,,1.0,2.0,3.67,0,0
operating,,,,,9.0,0,0
operating,,,,1.0,3.33,0,0
operating,1.0,,2.0,3.0,5.16,0,0
operating,,,2.0,4.0,7.0,0,0
operating,1.0,1700000.0,2.0,7.0,2.33,0,0
operating,,,1.0,2.0,4.84,0,0
operating,,,,,7.0,0,0
operating,4.0,19500000.0,2.0,5.0,4.0,0,0
operating,,,1.0,1.0,7.25,0,0
operating,,,,3.0,3.5,0,0
operating,,,,,13.0,0,0
operating,1.0,50000.0,,5.0,7.0,0,0
operating,1.0,50000.0,2.0,2.0,6.96,0,0
operating,,,1.0,6.0,6.12,0,0
operating,,,1.0,1.0,4.31,0,0
operating,,,,,9.5,0,0
operating,,,1.0,4.0,15.0,0,0
operating,,,,,12.42,0,0
operating,,,1.0,2.0,6.0,0,0
operating,,,2.0,4.0,8.0,0,0
acquired,1.0,,,8.0,15.0,1,1
operating,,,1.0,14.0,7.0,0,0
acquired,1.0,18664050.0,,2.0,19.0,1,1
ipo,,,1.0,5.0,7.0,1,1
acquired,2.0,4000000.0,1.0,6.0,7.25,1,1
operating,,,1.0,1.0,7.87,0,0
operating,1.0,8700000.0,2.0,5.0,5.38,0,0
operating,3.0,11510000.0,4.0,6.0,7.0,0,0
operating,,,,2.0,7.0,0,0
operating,,,,,7.0,0,0
operating,,,1.0,2.0,3.52,0,0
acquired,1.0,,,3.0,8.63,1,1
operating,,,,2.0,10.4,0,0
acquired,3.0,9650000.0,4.0,13.0,13.0,1,1
operating,1.0,8000000.0,,12.0,11.0,0,0
operating,1.0,,,4.0,7.0,0,0
operating,1.0,4000000.0,1.0,5.0,11.61,0,0
acquired,,,1.0,3.0,12.0,1,1
ipo,8.0,116400000.0,3.0,24.0,10.0,1,1
operating,,,1.0,1.0,3.36,0,0
operating,,,1.0,1.0,7.0,0,0
operating,,,,,13.38,0,0
operating,1.0,1200000.0,1.0,3.0,4.0,0,0
operating,,,,,6.0,0,0
operating,,,,,7.0,0,0
operating,,,1.0,2.0,3.75,0,0
operating,,,,,8.0,0,0
operating,,,,,7.0,0,0
operating,,,1.0,3.0,11.0,0,0
operating,,,1.0,2.0,4.24,0,0
operating,,,1.0,3.0,10.75,0,0
acquired,2.0,3915000.0,2.0,9.0,7.0,1,1
ipo,,,3.0,5.0,22.0,1,1
acquired,,,,1.0,13.0,1,1
operating,,,1.0,10.0,13.0,0,0
operating,,,1.0,3.0,9.0,0,0
acquired,,,2.0,20.0,20.0,1,1
operating,1.0,1200000.0,2.0,2.0,7.0,0,0
operating,1.0,15000.0,,,4.88,0,0
operating,,,1.0,,7.0,0,0
operating,1.0,1500000.0,1.0,3.0,7.0,0,0
operating,1.0,7000000.0,,5.0,7.0,0,0
operating,,,,,7.0,0,0
operating,,,2.0,1.0,7.0,0,0
operating,2.0,12120000.0,,1.0,7.0,0,0
operating,1.0,13000000.0,1.0,1.0,7.0,0,0
operating,2.0,42800000.0,2.0,2.0,7.0,0,0
operating,1.0,2000000.0,,1.0,7.0,0,0
operating,,,,5.0,7.0,0,0
operating,,,1.0,3.0,4.74,0,0
acquired,,,1.0,2.0,16.0,1,1
operating,,,2.0,,12.67,0,0
operating,,,1.0,1.0,8.0,0,0
acquired,1.0,250000.0,,4.0,9.25,1,1
operating,,,,1.0,16.0,0,0
operating,,,3.0,2.0,3.33,0,0
operating,1.0,100000.0,,,4.0,0,0
ipo,1.0,100000.0,2.0,66.0,24.0,1,1
operating,,,,,7.52,0,0
operating,1.0,2454.0,1.0,3.0,5.0,0,0
operating,,,1.0,17.0,8.16,0,0
operating,,,1.0,3.0,8.0,0,0
acquired,,,,,21.0,1,1
operating,,,,5.0,14.25,0,0
closed,1.0,650000.0,3.0,3.0,7.0,0,0
acquired,2.0,10600000.0,3.0,6.0,6.58,1,1
operating,,,2.0,3.0,8.09,0,0
operating,1.0,7843200.0,2.0,3.0,14.0,0,0
operating,,,1.0,4.0,7.0,0,0
operating,,,,1.0,6.0,0,0
operating,,,,3.0,9.0,0,0
acquired,,,1.0,8.0,19.0,1,1
operating,,,,3.0,7.57,0,0
operating,,,,18.0,21.0,0,0
operating,,,,1.0,4.0,0,0
operating,,,,5.0,13.42,0,0
closed,1.0,200000.0,1.0,3.0,6.81,0,0
operating,1.0,4000000.0,2.0,4.0,5.0,0,0
operating,,,2.0,6.0,7.0,0,0
operating,,,,,7.0,0,0
operating,,,,1.0,11.91,0,0
operating,1.0,2300000.0,,,7.0,0,0
operating,3.0,5200000.0,,4.0,9.0,0,0
acquired,,,,,7.0,1,1
acquired,2.0,3500000.0,4.0,15.0,9.58,1,1
operating,,,,3.0,4.0,0,0
closed,,,,,3.16,0,0
closed,1.0,,,4.0,1.42,0,0
operating,,,,,7.0,0,0
acquired,,,,7.0,12.0,1,1
operating,,,,2.0,19.38,0,0
operating,,,1.0,1.0,7.0,0,0
operating,3.0,16030566.0,,7.0,10.0,0,0
acquired,6.0,53816776.0,,8.0,11.34,1,1
operating,,,,2.0,35.0,0,0
operating,,,,,25.16,0,0
operating,,,1.0,2.0,22.0,0,0
operating,,,,2.0,7.01,0,0
operating,,,1.0,1.0,13.34,0,0
operating,,,,8.0,13.0,0,0
operating,3.0,11000000.0,3.0,22.0,5.64,0,0
operating,1.0,4000000.0,1.0,5.0,4.67,0,0
closed,,,2.0,2.0,2.75,0,0
operating,,,1.0,4.0,5.0,0,0
operating,,,,,3.41,0,0
operating,,,,,14.0,0,0
operating,,,1.0,6.0,3.42,0,0
operating,1.0,160000.0,,3.0,8.0,0,0
operating,1.0,500000.0,1.0,1.0,7.21,0,0
operating,,,1.0,2.0,7.21,0,0
operating,,,2.0,7.0,18.99,0,0
operating,1.0,48501.0,2.0,7.0,3.42,0,0
operating,,,,,7.0,0,0
operating,,,1.0,1.0,4.5,0,0
operating,2.0,22600000.0,1.0,4.0,11.0,0,0
operating,,,2.0,1.0,11.91,0,0
operating,1.0,100000.0,,5.0,10.0,0,0
operating,,,1.0,4.0,8.0,0,0
acquired,3.0,14000000.0,4.0,11.0,7.0,1,1
operating,2.0,2365000.0,,1.0,7.0,0,0
operating,3.0,1008401.0,4.0,6.0,9.0,0,0
operating,,,,,7.0,0,0
operating,,,1.0,2.0,8.91,0,0
operating,,,1.0,,6.42,0,0
operating,2.0,5806037.0,,1.0,8.0,0,0
operating,2.0,100000.0,1.0,3.0,3.75,0,0
operating,,,1.0,2.0,10.41,0,0
operating,6.0,67650000.0,2.0,31.0,9.0,0,0
ipo,,,1.0,2.0,35.0,1,1
operating,,,,,3.58,0,0
operating,,,1.0,1.0,3.33,0,0
operating,1.0,,,2.0,3.58,0,0
closed,,,,3.0,4.0,0,0
operating,,,1.0,1.0,4.78,0,0
operating,,,,,11.63,0,0
operating,,,,,7.25,0,0
operating,,,1.0,1.0,4.5,0,0
operating,2.0,42000000.0,1.0,12.0,3.42,0,0
operating,1.0,10000000.0,1.0,7.0,8.0,0,0
operating,1.0,7500000.0,1.0,4.0,7.0,0,0
operating,,,1.0,1.0,7.0,0,0
acquired,1.0,500000.0,1.0,6.0,4.0,1,1
operating,,,,1.0,16.0,0,0
operating,1.0,7500000.0,,1.0,7.0,0,0
operating,1.0,22500000.0,,,8.0,0,0
operating,3.0,22100000.0,3.0,17.0,7.91,0,0
acquired,,,,,7.0,1,1
operating,,,1.0,3.0,3.42,0,0
operating,,,1.0,37.0,43.0,0,0
operating,,,,4.0,13.0,0,0
operating,,,,2.0,17.0,0,0
operating,3.0,11298100.0,3.0,19.0,10.28,0,0
operating,,,,2.0,7.08,0,0
operating,,,1.0,4.0,7.0,0,0
operating,3.0,15500000.0,,3.0,11.0,0,0
operating,3.0,6865000.0,2.0,9.0,8.0,0,0
operating,4.0,23326001.0,1.0,8.0,7.84,0,0
operating,2.0,6545000.0,2.0,6.0,7.0,0,0
operating,1.0,100000.0,1.0,2.0,3.38,0,0
operating,,,2.0,20.0,7.0,0,0
operating,,,,4.0,6.98,0,0
operating,,,2.0,2.0,4.58,0,0
operating,,,,,8.0,0,0
operating,1.0,6000000.0,1.0,2.0,7.0,0,0
acquired,1.0,4000000.0,3.0,15.0,7.0,1,1
operating,,,,,8.0,0,0
operating,3.0,26000006.0,2.0,3.0,11.0,0,0
operating,,,1.0,1.0,8.36,0,0
operating,,,,1.0,7.08,0,0
operating,,,1.0,3.0,3.85,0,0
operating,,,2.0,3.0,7.0,0,0
operating,1.0,700000.0,1.0,2.0,3.33,0,0
acquired,,,3.0,1.0,7.0,1,1
operating,,,,1.0,7.0,0,0
operating,,,,1.0,7.0,0,0
operating,,,,1.0,3.46,0,0
acquired,,,1.0,,7.0,1,1
operating,,,,,7.5,0,0
operating,,,,5.0,7.0,0,0
acquired,5.0,53350000.0,5.0,20.0,11.5,1,1
closed,,,3.0,1.0,7.0,0,0
operating,,,3.0,6.0,7.0,0,0
acquired,,,4.0,21.0,17.0,1,1
operating,3.0,40000000.0,1.0,1.0,7.0,0,0
operating,1.0,500000.0,,3.0,10.68,0,0
operating,,,2.0,4.0,7.25,0,0
closed,3.0,10500000.0,3.0,8.0,3.0,0,0
operating,1.0,250000.0,1.0,3.0,6.16,0,0
ipo,1.0,4200000.0,3.0,17.0,5.42,1,1
acquired,1.0,2350000.0,,1.0,7.0,1,1
operating,,,,,29.0,0,0
acquired,,,,2.0,16.0,1,1
operating,,,1.0,1.0,7.0,0,0
operating,6.0,160549892.0,3.0,41.0,8.75,0,0
operating,,,,3.0,9.5,0,0
